Year;Category;Film;FilmId;Name;Productora;winner;dist_1;dist_2;dist_3;dist_4;dist_5;es_streaming
1997;WRITING (Screenplay Written Directly for the Screen);The Full Monty;tt0119164;Simon Beaufoy;Redwave Films, Channel Four Films, Twentieth Century Fox;0.0;fox;searchlight pictures;twentieth century fox;columbia tristar films;0;0
1997;WRITING (Screenplay Written Directly for the Screen);Good Will Hunting;tt0119217;Ben Affleck, Matt Damon;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;1.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;HONORARY AWARD;;;;;1.0;0;0;0;0;0;0
1997;GORDON E. SAWYER AWARD;;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
1997;SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award);;;;;1.0;0;0;0;0;0;0
