Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor
1998,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"?,?,?,nm3236255",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"nm0695762,?,?,?",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"?,?,?,nm1384009,nm1295433",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,"nm0845703,nm0018688,nm0874319",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0113593,nm0392727",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0734951,nm1219580,?,nm1021158",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0226457,?,nm0634000",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0533371,nm0093116,nm0658949,nm0298432",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0910475,nm0776203,nm0054851,nm0180183",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,nm1749933,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,nm1647973,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,nm1661093,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,nm0680288,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,"nm0091682,?,?",1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,nm1749933,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,nm0218973,1,nan,sin información
1998,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,1,nan,sin información
